objid,ra,dec,z,zerr,class,subclass,plate,mjd,fiberid,dist_comov,x,y,z_coord
1237667255626367082,184.766710319979,31.0844057840012,0.06303599,1.339276e-05,GALAXY,,2232,53827,325,275.14750114276865,-234.82342108182877,-19.581282416087713,142.05872615041088
1237667255626367273,184.910269793848,31.2150088774951,0.004506525,2.85164e-05,GALAXY,,2232,53827,327,19.94679261515621,-16.996458868240477,-1.4601794403957191,10.3374463758757
1237667255626367104,184.832636347217,31.2364302685423,0.1140472,7.03909e-06,GALAXY,STARBURST,2232,53827,328,491.61618216910006,-418.85457414016906,-35.412479629264105,254.93778177995964
1237667255626367063,184.749093048233,31.2326558069731,0.07965988,7.026227e-06,GALAXY,STARFORMING,2232,53827,329,346.3065241088929,-295.0993073010632,-24.516158053054653,179.56493384047315
1237667255626170513,184.330261871802,31.2365397705052,0.1348359,1.82053e-05,GALAXY,,2232,53827,330,578.2205231093092,-492.9867327553366,-37.32972160365004,299.8492063638246
1237667255626432579,184.928427909222,31.0899656231165,0.1424558,2.304704e-05,GALAXY,,2232,53827,331,609.7289918297829,-520.2155336380811,-44.85822204435339,314.8539057315782
1237667212676825139,184.856598630307,31.0319177959302,0.07992335,1.420523e-05,GALAXY,,2232,53827,333,347.42954830982745,-296.63667185030215,-25.204395441712542,179.10531651172352
1237667255626170535,184.359767681947,31.2112415856171,0.06979683,7.436204e-06,GALAXY,STARBURST,2232,53827,336,304.15881292440713,-259.3829243980274,-19.775224648469674,157.61352258107243
1237667255626432573,184.923238938052,31.1658614161253,0.1711286,3.543702e-05,GALAXY,,2232,53827,338,727.1558014466184,-619.9118239630689,-53.39848107319035,376.3156817185954
1237667212676825197,184.750871586297,31.0277261011347,0.03656155,9.493403e-06,GALAXY,STARFORMING,2232,53827,339,160.60740927670375,-137.15452044496686,-11.39876260653198,82.78554008476189
1237667255626170519,184.33556047906,31.0707691672509,0.05139088,1.644504e-05,GALAXY,STARFORMING,2232,53827,340,224.94888188551226,-192.12421793593697,-14.56581367059061,116.0953117751117
1237667212139692135,184.064054093809,30.5211115340307,0.0795863,1.407128e-05,GALAXY,,2232,53827,342,345.99286739568674,-297.3033482997499,-21.12349851185151,175.71448770396435
1237667255089234070,184.190326745777,30.6413253642938,0.1050707,2.828115e-05,GALAXY,,2232,53827,343,453.93074864050317,-389.5065002628982,-28.537455139408547,231.3513009871413
